scenario,type,method,domain,url_redacted
doradobet_home_desktop,Script,GET,fpjscdn.net,https://fpjscdn.net/v4/PmGJOlgFXlEl6IqCC6Bi
doradobet_home_desktop,Fetch,GET,api.fpjs.io,https://api.fpjs.io/xridvya/qAo6p?q=PmGJOlgFXlEl6IqCC6Bi
doradobet_home_desktop,Fetch,POST,api.fpjs.io,https://api.fpjs.io/?ci=js/4.0.3&q=PmGJOlgFXlEl6IqCC6Bi
doradobet_home_desktop,Script,GET,a.mgid.com,https://a.mgid.com/mgsensor.js?d=1780274265446&source=gtm
doradobet_home_desktop,Script,GET,tm.ads.sportradar.com,https://tm.ads.sportradar.com/dist/tag-manager.js?id=STM-AAAAKI
doradobet_home_desktop,Script,GET,dynamic.criteo.com,https://dynamic.criteo.com/js/ld/ld.js?a=126083&a=126082&a=125840&a=125813&a=126084&a=125839
doradobet_home_desktop,Script,GET,tracker.ads.sportradar.com,https://tracker.ads.sportradar.com/dist/tracker.js
doradobet_home_desktop,Script,GET,a.sportradarserving.com,https://a.sportradarserving.com/pixel?type=js&aid=1251&id=3281
doradobet_home_desktop,Script,GET,tracker.ads.sportradar.com,https://tracker.ads.sportradar.com/dist//sp-3.8.0.js
doradobet_home_desktop,Image,GET,a.mgid.com,https://a.mgid.com/1x1.gif?id=965881&type=c&tg=&r=https%3A%2F%2Fdoradobet.com%2F&nv=1&clid=&d=1780274266390
doradobet_home_desktop,Script,GET,acdn.adnxs.com,https://acdn.adnxs.com/dmp/up/pixie.js
doradobet_home_desktop,Document,GET,gum.criteo.com,https://gum.criteo.com/syncframe?topUrl=doradobet.com&origin=onetag
doradobet_home_desktop,Script,GET,a.sportradarserving.com,https://a.sportradarserving.com/ul_cb/pixel?type=js&aid=1251&id=3281
doradobet_home_desktop,Script,GET,track.adform.net,https://track.adform.net/Serving/Cookie/?adfaction=getjs;adfcookname=uid
doradobet_home_desktop,Script,GET,a2.adform.net,https://a2.adform.net/serving/scripts/trackpoint/async/
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=409&expires=14&user_group=2&user_id=[REDACTED]&cb=32ff7235-6b3b-4010-926b-6d097da92c3c
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=409&expires=14&user_group=2&user_id=[REDACTED]&cb=d87d7c92-7d92-4d3d-9125-a7e0bd4d2a71
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=409&expires=14&user_group=2&user_id=[REDACTED]&cb=abd3152d-ab08-4474-a18b-d548256a4c0f
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/syncd?dsp_id=409&user_id=[REDACTED]&user_group=2&redir=%2F%2Fuse.sportradarserving.com%2Fbsw_sync%3Fbsw_uid%3D%24%7BBSW_UID%7D
doradobet_home_desktop,Fetch,GET,ib.adnxs.com,https://ib.adnxs.com/pixie/up?pi=40457eb2-208e-4b49-837d-1e60b0766b55
doradobet_home_desktop,Script,GET,s2.adform.net,https://s2.adform.net/banners/scripts/st/trackpoint-async.js
doradobet_home_desktop,Script,GET,sslwidget.criteo.com,https://sslwidget.criteo.com/event?a=%5B126083%2C126082%2C125840%2C125813%2C126084%2C125839%5D&v=5.46.0&csp-nonce=undefined&p0=e%3Dce%26m%3D%255B%255D%26h%3Dsha256&p1=e%3Dexd%26site_type%3Dd&p2=e%3Dvh%26tms%3Dgtm-criteo-custom&p3=e%3Ddis%26a%3D%255B126083%252C126082%252C125840%252C125813%252C126084%252C125839%255D&sc=%7B%22fbp%22%3A%22fb.1.1780274266658.9990627468%22%2C%22ttp%22%3A%2201KT09V0P64KP4PGCY4FQPVHJY_.tt.1%22%7D&tld=doradobet.com&dy=1&fu=https%253A%252F%252Fdoradobet.com%252F&ceid=7dc2af95-3e3b-478e-9427-f29a2c73b471
doradobet_home_desktop,Image,GET,ib.adnxs.com,https://ib.adnxs.com/pixie?e=PageView&pi=40457eb2-208e-4b49-837d-1e60b0766b55&it=1780274266840&v=0.0.45&u=https%3A%2F%2Fdoradobet.com%2F&st=1780274266840&et=1780274267434&if=0&uetmsmid=0219e6a2-9792-489c-b5e7-49ed81536273&asce=0&ascc=0&tcfhl=0&tcfe=0&tcfgdpr=0&tcfc=0
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/ul_cb/sync?dsp_id=409&expires=14&user_group=2&user_id=[REDACTED]&cb=abd3152d-ab08-4474-a18b-d548256a4c0f
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/ul_cb/sync?dsp_id=409&expires=14&user_group=2&user_id=[REDACTED]&cb=32ff7235-6b3b-4010-926b-6d097da92c3c
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/ul_cb/sync?dsp_id=409&expires=14&user_group=2&user_id=[REDACTED]&cb=d87d7c92-7d92-4d3d-9125-a7e0bd4d2a71
doradobet_home_desktop,Script,GET,a2.adform.net,https://a2.adform.net/Serving/TrackPoint/?pm=3165913&ADFPageName=DoradoBet_HomePage&ADFdivider=%7C&ord=370617898418&ADFtpmode=2&itm=eyJzdjEiOltdfQ&loc=https%3A%2F%2Fdoradobet.com%2F&Set1=es-419%7Ces-419%7C800x600%7C24
doradobet_home_desktop,Script,GET,a2.adform.net,https://a2.adform.net/Serving/TrackPoint/?CC=1&pm=3165913&ADFPageName=DoradoBet_HomePage&ADFdivider=%7C&ord=370617898418&ADFtpmode=2&itm=eyJzdjEiOltdfQ&loc=https%3A%2F%2Fdoradobet.com%2F&Set1=es-419%7Ces-419%7C800x600%7C24
doradobet_home_desktop,Document,GET,a2.adform.net,https://a2.adform.net/serving/container/?pm=3165913&lid=141310029&ctype=0&media=0&PageName=DoradoBet_HomePage&rnd=1006315996&cpref=&loc=https%3a%2f%2fdoradobet.com%2f
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?ssp=between&uid=[REDACTED]&gdpr=0&gdpr_consent=&us_privacy=${GPP_STRING_123}&redir=https%3A%2F%2Fads.betweendigital.com%2Fmatch%3Fbidder_id%3D22%26external_user_id%3D%24%7BUUID%7D
doradobet_home_desktop,Image,GET,dsp.nrich.ai,https://dsp.nrich.ai/bidswitch/sync?bidswitch_ssp_id=between&bsw_custom_parameter=41ef1170-aaf3-4b3f-aec0-c687bbc6d6b7&gdpr=0&gdpr_consent=&gdpr_pd=&us_privacy=
doradobet_home_desktop,Image,GET,x.bidswitch.net,https://x.bidswitch.net/sync?dsp_id=283&user_id=[REDACTED]&expires=1&user_group=5&ssp=between&bsw_param=41ef1170-aaf3-4b3f-aec0-c687bbc6d6b7&gdpr=0&gdpr_consent=&gdpr_pd=
doradobet_home_mobile,Script,GET,fpjscdn.net,https://fpjscdn.net/v4/PmGJOlgFXlEl6IqCC6Bi
doradobet_home_mobile,Fetch,GET,api.fpjs.io,https://api.fpjs.io/xridvya/qAo6p?q=PmGJOlgFXlEl6IqCC6Bi
doradobet_home_mobile,Fetch,POST,api.fpjs.io,https://api.fpjs.io/?ci=js/4.0.3&q=PmGJOlgFXlEl6IqCC6Bi
doradobet_home_mobile,Script,GET,a.mgid.com,https://a.mgid.com/mgsensor.js?d=1780274285226&source=gtm
doradobet_home_mobile,Script,GET,tm.ads.sportradar.com,https://tm.ads.sportradar.com/dist/tag-manager.js?id=STM-AAAAKI
doradobet_home_mobile,Script,GET,dynamic.criteo.com,https://dynamic.criteo.com/js/ld/ld.js?a=126083&a=126082&a=125840&a=125813&a=126084&a=125839
doradobet_home_mobile,Script,GET,acdn.adnxs.com,https://acdn.adnxs.com/dmp/up/pixie.js
doradobet_home_mobile,Script,GET,tracker.ads.sportradar.com,https://tracker.ads.sportradar.com/dist/tracker.js
doradobet_home_mobile,Script,GET,a.sportradarserving.com,https://a.sportradarserving.com/pixel?type=js&aid=1251&id=3281
doradobet_home_mobile,Image,GET,a.mgid.com,https://a.mgid.com/1x1.gif?id=965881&type=c&tg=&r=https%3A%2F%2Fdoradobet.com%2F&nv=1&clid=&d=1780274286076
doradobet_home_mobile,Document,GET,gum.criteo.com,https://gum.criteo.com/syncframe?topUrl=doradobet.com&origin=onetag
doradobet_home_mobile,Fetch,GET,ib.adnxs.com,https://ib.adnxs.com/pixie/up?pi=40457eb2-208e-4b49-837d-1e60b0766b55
doradobet_home_mobile,Script,GET,tracker.ads.sportradar.com,https://tracker.ads.sportradar.com/dist//sp-3.8.0.js
doradobet_home_mobile,Script,GET,track.adform.net,https://track.adform.net/Serving/Cookie/?adfaction=getjs;adfcookname=uid
doradobet_home_mobile,Script,GET,a2.adform.net,https://a2.adform.net/serving/scripts/trackpoint/async/
doradobet_home_mobile,Document,GET,bit.ly,https://bit.ly/3tv3Jxc
doradobet_home_mobile,Document,GET,bit.ly,https://bit.ly/3RnpeIp
