scenario,domain
doradobet_home_desktop,7e07ed73-4b31-437a-bd49-e8c632d4a7bc.snippet.anjcdn.org
doradobet_home_desktop,7e07ed73-4b31-437a-bd49-e8c632d4a7bc.snippet.anjouangaming.org
doradobet_home_desktop,a.mgid.com
doradobet_home_desktop,a.sportradarserving.com
doradobet_home_desktop,a2.adform.net
doradobet_home_desktop,accounts.google.com
doradobet_home_desktop,acdn.adnxs.com
doradobet_home_desktop,ad.360yield.com
doradobet_home_desktop,ads.betweendigital.com
doradobet_home_desktop,analytics-ipv6.tiktokw.us
doradobet_home_desktop,analytics.google.com
doradobet_home_desktop,analytics.tiktok.com
doradobet_home_desktop,api.fpjs.io
doradobet_home_desktop,api2.amplitude.com
doradobet_home_desktop,c.bing.com
doradobet_home_desktop,c.clarity.ms
doradobet_home_desktop,cc-bq.com
doradobet_home_desktop,cdn-st.adsmurai.com
doradobet_home_desktop,cdn.amplitude.com
doradobet_home_desktop,cdn01.basis.net
doradobet_home_desktop,cdncode2.virtualsoft.tech
doradobet_home_desktop,cdnconfigs.virtualsoft.tech
doradobet_home_desktop,ctag.containermedia.net
doradobet_home_desktop,cwcentribot.centribal.com
doradobet_home_desktop,doradobet.com
doradobet_home_desktop,dsp.nrich.ai
doradobet_home_desktop,dynamic.criteo.com
doradobet_home_desktop,fpjscdn.net
doradobet_home_desktop,gameservice.virtualsoft.tech
doradobet_home_desktop,gum.criteo.com
doradobet_home_desktop,ib.adnxs.com
doradobet_home_desktop,images.virtualsoft.tech
doradobet_home_desktop,j.clarity.ms
doradobet_home_desktop,load.t.doradobet.com
doradobet_home_desktop,my.rtmark.net
doradobet_home_desktop,pixel-sync.sitescout.com
doradobet_home_desktop,pixel.sitescout.com
doradobet_home_desktop,pulse-vs.vercel.app
doradobet_home_desktop,rum.cronitor.io
doradobet_home_desktop,s2.adform.net
doradobet_home_desktop,scripts.clarity.ms
doradobet_home_desktop,sslwidget.criteo.com
doradobet_home_desktop,static.virtualsoft.tech
doradobet_home_desktop,static.woopra.com
doradobet_home_desktop,static2.virtualsoft.tech
doradobet_home_desktop,stats.g.doubleclick.net
doradobet_home_desktop,tm.ads.sportradar.com
doradobet_home_desktop,track.adform.net
doradobet_home_desktop,tracker.ads.sportradar.com
doradobet_home_desktop,tsyndicate.com
doradobet_home_desktop,us-u.openx.net
doradobet_home_desktop,v.byads.co
doradobet_home_desktop,visitor-betweenx.omnitagjs.com
doradobet_home_desktop,www.clarity.ms
doradobet_home_desktop,www.google-analytics.com
doradobet_home_desktop,www.google.com
doradobet_home_desktop,www.google.com.bo
doradobet_home_desktop,www.googletagmanager.com
doradobet_home_desktop,www.gstatic.com
doradobet_home_desktop,www.rtb123.com
doradobet_home_desktop,www.woopra.com
doradobet_home_desktop,x.bidswitch.net
doradobet_home_mobile,7e07ed73-4b31-437a-bd49-e8c632d4a7bc.snippet.anjcdn.org
doradobet_home_mobile,7e07ed73-4b31-437a-bd49-e8c632d4a7bc.snippet.anjouangaming.org
doradobet_home_mobile,a.mgid.com
doradobet_home_mobile,a.sportradarserving.com
doradobet_home_mobile,a1.seadform.net
doradobet_home_mobile,a2.adform.net
doradobet_home_mobile,aa.agkn.com
doradobet_home_mobile,accounts.google.com
doradobet_home_mobile,acdn.adnxs.com
doradobet_home_mobile,ad.360yield.com
doradobet_home_mobile,ade.clmbtech.com
doradobet_home_mobile,analytics-ipv6.tiktokw.us
doradobet_home_mobile,analytics.google.com
doradobet_home_mobile,analytics.tiktok.com
doradobet_home_mobile,api.fpjs.io
doradobet_home_mobile,api2.amplitude.com
doradobet_home_mobile,bidberry.net
doradobet_home_mobile,bit.ly
doradobet_home_mobile,c.bing.com
doradobet_home_mobile,c.clarity.ms
doradobet_home_mobile,c1.adform.net
doradobet_home_mobile,cc-bq.com
doradobet_home_mobile,cdn-st.adsmurai.com
doradobet_home_mobile,cdn.amplitude.com
doradobet_home_mobile,cdn01.basis.net
doradobet_home_mobile,cdncode2.virtualsoft.tech
doradobet_home_mobile,cdnconfigs.virtualsoft.tech
doradobet_home_mobile,chaturbate.com
doradobet_home_mobile,cm.g.doubleclick.net
doradobet_home_mobile,criteo-partners.tremorhub.com
doradobet_home_mobile,criteo-sync.teads.tv
doradobet_home_mobile,cs.media.net
